2015-10-11 23:29 CRITICAL task          Local-Torrents-TV BUG: Unhandled error in plugin include: while scanning for the next token\nfound character '\t' that cannot start any token\n  in "c:\Users\sysfs\flexget\New Config File Flexget\series-following.yml", line 47, column 1
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The 100 S01E03` with plugin `torrentz` (11 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The 100 S01E03` with plugin `kat` (11 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S08E02` with plugin `filler` (12 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S08E02` with plugin `flexget_archive` (12 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S08E02` with plugin `torrentz` (12 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S08E02` with plugin `kat` (12 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `House S01E03` with plugin `filler` (13 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `House S01E03` with plugin `flexget_archive` (13 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `House S01E03` with plugin `torrentz` (13 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `House S01E03` with plugin `kat` (13 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Fringe S01E03` with plugin `filler` (14 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Fringe S01E03` with plugin `flexget_archive` (14 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Fringe S01E03` with plugin `torrentz` (14 of 14)
2015-10-11 23:36 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Fringe S01E03` with plugin `kat` (14 of 14)
2015-10-11 23:37 VERBOSE  backlog       My-TV-Shows-Find-Missing Added 2 entries from backlog
2015-10-11 23:37 VERBOSE  details       My-TV-Shows-Find-Missing Produced 446 entries.
2015-10-11 23:37 VERBOSE  series        My-TV-Shows-Find-Missing Auto enabling exact matching for series NCIS (reason NCIS: Los Angeles)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Lost Girl S05E14 720p HDTV x264 KILLERS rartv` by seen plugin because entry with title `Lost Girl S05E14 720p HDTV x264 KILLERS rartv` is already marked seen in the task My-TV-Shows-Find-Missing at 2015-10-11 23:28
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Once Upon A Time S05E03 720p HDTV x264 KILLERS rartv` by seen plugin because entry with title `Once Upon A Time S05E03 720p HDTV x264 KILLERS rartv` is already marked seen in the task My-TV-Shows at 2015-10-11 22:11
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The Last Kingdom S01E01 720p WEB DL DD5 1 H 264 EsQ rartv` by seen plugin because entry with title `The Last Kingdom S01E01 720p WEB DL DD5 1 H 264 EsQ rartv` is already marked seen in the task Series-Premieres at 2015-10-11 22:12
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `100 Code - The Hundred Code S01e03 [H264 - Swe Aac - ExtSub Ita Swe Eng] HDTVrip [TNTVILLAGE] (Freedom Crew) [northwayfansub]` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The Following S01E03 FASTSUB VOSTFR HDTV XviD MiND` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The Following S01E03 FASTSUB VOSTFR HDTV XviD-MiND` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Bones S08E02 FASTSUB VOSTFR HDTV XviD-Xtrem` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Safe House s01e03 ENG SUBS WEBRIP` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Bones S08E02 FASTSUB VOSTFR HDTV XviD-ADDiCTiON` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 1x03 - La Nebbia [Web-dl 1080p X264 AC3 ITA-ENG 5.1 Sub Ita-Eng MKV] R0ttenbl00d` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 2014 S01E03 1080p WEB DL DD5 1 HQ NL Subs` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Mr Robot S01E03 720p HDTV 2CH x265 HEVC with ESub -AAR [UTR] (100MB)` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 (2014) S01E03 1080p WEB-DL DD5.1 HQ NL Subs` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Bones S08E02 FASTSUB VOSTFR HDTV XviD Xtrem` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Bones S08E02 HDTV Nl subs DutchReleaseTeam` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Fringe.S01E03.HDTV.DivX.Sub.TR.avi` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 2014 S01E03 1080p WEB DL DD5 1 HQ NL Subs` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Bones S08E02 FASTSUB VOSTFR HDTV XviD ADDiCTiON` by regexp plugin because regexp '(s|d)ub(s|bed)?\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The Following 1x03 HDiTunes DVB Spanish` by regexp plugin because regexp '\bspanish\b' matched field 'title'
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Bones S08E02 720p HDTV X264-DIMENSION [eztv]` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 PROPER HDTV XviD-FUM[ettv]` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 HDTV XviD-EVO` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Alpha House S01E03 All Weapons Red WEBRip x264-W4F [eztv]` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The Real Housewives of Beverly Hills S01E03 Plenty of Baggage HD` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Pretty Little Liars S05E02 480p HDTV x264-mSD` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The.Following.S01E03.720p.HDTV.X264-DIMENSION` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `100 Things To Do Before High School S01E03 Say Yes to Everything for a Day Thing! 1080p WEB-DL AAC 2.0 x264-XOMAN` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 PROPER HDTV XviD-EVO` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 PROPER HDTV XviD-AFG` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 HDTV x264-ChameE` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 PROPER 720p HDTV x264-KILLERS` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Safe House S01E03 720p HDTV x264-SNEAkY` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 1080p WEB DL DD5 1 H 264 KiNGS PublicHD` by torrent_alive plugin because had < 5 required seeds. (4)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 PROPER 720p HDTV x264 KILLERS PublicHD` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 PROPER HDTV x264-KILLERS` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Bones S08E02 HDTV x264 LOL mp4` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `American Horror Story S01E03 Murder House 720p WEB-DL DD5 1 H 26` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Parks and Recreation S05E02 HDTV XviD AFG` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `Under the Dome S01E03 HDTV x264 LOL` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `THE 100 S01E03 VOSTFR Gillop avi` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 HDTV x264-ChameE` by torrent_alive plugin because had < 5 required seeds. (3)
2015-10-11 23:38 VERBOSE  task          My-TV-Shows-Find-Missing REJECTED: `The 100 S01E03 VOSTFR HDTV x264-BRN [Seedbox] mp4` by torrent_alive plugin because had < 5 required seeds. (3)
